Group,Bump/Pin Name,Ball Name,Ball ID,Bump center_x,Bump center_y,Ball center_x,Ball center_y,IO_tile_pin,IO_tile_pin_x,IO_tile_pin_y,IO_tile_pin_z,Usable,Ref clock,Bank,ALT Function,Debug Mode,Scan Mode,Mbist Mode,Type,Direction,Voltage,Power Pad,Discription,Voltage2,Remark
,GPIO_A_15,GPIO_A_15,,6215,5630,26000,22000,,,,,,sys_clk,,,,,,,Inout,1.8V-3.3V,N,FPGA,1.8V-3.3V,
,GPIO_B_0,GPIO_B_0,,6345,5630,27000,22000,,,,,,sys_clk,,UART0_TXÂ ,,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_1,GPIO_B_1,,5760,5517.4,18000,23000,,,,,,sys_clk,,UART0_RXÂ ,,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_2,GPIO_B_2,,5890,5517.4,19000,23000,,,,,,sys_clk,,UART1_TXÂ ,,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_3,GPIO_B_3,,6020,5517.4,20000,23000,,,,,,sys_clk,,UART1_RXÂ ,,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_4,GPIO_B_4,,6150,5517.4,21000,23000,,,,,,sys_clk,,SPI_CSÂ ,Debug_3,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_5,GPIO_B_5,,6280,5517.4,22000,23000,,,,,,sys_clk,,,Debug_4,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_6,GPIO_B_6,,5825,5404.8,23000,23000,,,,,,sys_clk,,SPI_MOSI (DQ0)Â ,Debug_5,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_7,GPIO_B_7,,5955,5404.8,24000,23000,,,,,,sys_clk,,SPI_MISO (DQ1)Â ,Debug_6,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_8,GPIO_B_8,,6085,5404.8,25000,23000,,,,,,sys_clk,,SPI_DQ2Â ,Debug_7,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_9,GPIO_B_9,,6215,5404.8,26000,23000,,,,,,sys_clk,,SPI_DQ3Â ,Debug_8,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_10,GPIO_B_10,,6345,5404.8,27000,23000,,,,,,sys_clk,,,Debug_9,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_11,GPIO_B_11,,5760,5292.2,18000,24000,,,,,,sys_clk,,I2C_SDAÂ ,Debug_10,,,,Inout,1.8V-3.3V,N,General Purpose I/O,1.8V-3.3V,
,GPIO_B_12,GPIO_B_12,,5890,5292.2,19000,24000,,,,,,sys_clk,,UART0_CTS,Debug_11,,,,Inout,1.8V-3.3V,N,SW0,1.8V-3.3V,
,GPIO_B_13,GPIO_B_13,,6020,5292.2,20000,24000,,,,,,sys_clk,,UART0_RTS,Debug_12,,,,Inout,1.8V-3.3V,N,SW1,1.8V-3.3V,
,GPIO_B_14,GPIO_B_14,,6150,5292.2,21000,24000,,,,,,sys_clk,,UART1_CTS,Debug_13,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,N,SW2,1.8V-3.3V,
,GPIO_B_15,GPIO_B_15,,6280,5292.2,22000,24000,,,,,,sys_clk,,UART1_RTS,Debug_14,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,SW3,1.8V-3.3V,
,GPIO_C_0,GPIO_C_0,,5825,5179.6,23000,24000,,,,,,sys_clk,,gpt_event_0,Debug_15,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_1,GPIO_C_1,,5955,5179.6,24000,24000,,,,,,,,gpt_event_1,Debug_16,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_2,GPIO_C_2,,6085,5179.6,25000,24000,,,,,,,,gpt_event_2,Debug_17,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_3,GPIO_C_3,,6215,5179.6,26000,24000,,,,,,,,gpt_event_3,Debug_18,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_4,GPIO_C_4,,6345,5179.6,27000,24000,,,,,,,,gpt_pwm_0,Debug_19,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_5,GPIO_C_5,,5760,5067,18000,25000,,,,,,,,gpt_pwm_1,Debug_20,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_6,GPIO_C_6,,5890,5067,19000,25000,,,,,,,,gpt_pwm_2,Debug_21,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_7,GPIO_C_7,,6020,5067,20000,25000,,,,,,,,gpt_pwm_3,Debug_22,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_8,GPIO_C_8,,6150,5067,21000,25000,,,,,,,,,Debug_23,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_9,GPIO_C_9,,6280,5067,22000,25000,,,,,,,,,Debug_24,,,SRP_BI_SDS_18V_STB_*,Inout,1.2 / 1.5/ 1.8,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_10,GPIO_C_10,,5825,4954.4,23000,25000,,,,,,,,,Debug_25,,,,Inout,1.8V-3.3V,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_11,GPIO_C_11,,5955,4954.4,24000,25000,,,,,,,,,Debug_26,,,,Inout,1.8V-3.3V,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_12,GPIO_C_12,,6085,4954.4,25000,25000,,,,,,,,,Debug_27,,,??,Inout,,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_13,GPIO_C_13,,6215,4954.4,26000,25000,,,,,,,,,Debug_28,,,??,Inout,,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_14,GPIO_C_14,,6345,4954.4,27000,25000,,,,,,,,,Debug_29,,,??,Inout,,,General Purpose I/O,1.8V-3.3V,
,GPIO_C_15,GPIO_C_15,,5760,4841.8,18000,26000,,,,,,,,,Debug_30,,,,Inout,,,General Purpose I/O,1.8V-3.3V,
GBe,MDIO_MDCÂ ,MDIO_MDCÂ ,,5890,4841.8,19000,26000,,,,,,,,,Debug_31,,,,Inout,,,,1.8V-3.3V,
,MDIO_DATAÂ ,MDIO_DATAÂ ,,6020,4841.8,20000,26000,,,,,,,,,,,,,Inout,,,,1.8V-3.3V,
,RGMII_TXD0,RGMII_TXD0,,6150,4841.8,21000,26000,,,,,,,,,,,,,OutputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_TXD1,RGMII_TXD1,,6280,4841.8,22000,26000,,,,,,,,,,,,,OutputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_TXD2,RGMII_TXD2,,5825,4729.2,23000,26000,,,,,,,,,,,,,OutputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_TXD3,RGMII_TXD3,,5955,4729.2,24000,26000,,,,,,,,,,,,,OutputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_TX_CTLÂ ,RGMII_TX_CTLÂ ,,6085,4729.2,25000,26000,,,,,,,,,,,,,OutputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_TXC,RGMII_TXC,,6215,4729.2,26000,26000,,,,,,,,N/A,,,,,OutputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_RXD0,RGMII_RXD0,,6345,4729.2,27000,26000,,,,,,,,N/A,,,,,InputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_RXD1,RGMII_RXD1,,5760,4616.6,18000,27000,,,,,,,,N/A,,,,,InputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_RXD2,RGMII_RXD2,,5890,4616.6,19000,27000,,,,,,,,N/A,,,,,InputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_RXD3,RGMII_RXD3,,6020,4616.6,20000,27000,,,,,,,,N/A,,,,,InputÂ ,,,,1.2 / 1.5/ 1.8,
,RGMII_RX_CTLÂ ,RGMII_RX_CTLÂ ,,6150,4616.6,21000,27000,,,,,,,,N/A,,,,,Input ,,,,1.2 / 1.5/ 1.9,
,RGMII_RXCÂ ,RGMII_RXCÂ ,,6280,4616.6,22000,27000,,,,,,,,N/A,,,,,Input ,,,,1.2 / 1.5/ 1.10,
USB,USB_DPÂ ,USB_DPÂ ,,5825,4504,23000,27000,,,,,,,,N/A,,,,,Inout ,,,,,
,USB_DNÂ ,USB_DNÂ ,,5955,4504,24000,27000,,,,,,,,N/A,,,,,Inout ,,,,,
,USB_XTAL_OUT,USB_XTAL_OUT,,6085,4504,25000,27000,,,,,,,,N/A,,,,,Output ,,,,,
,USB_XTAL_INÂ ,USB_XTAL_INÂ ,,6215,4504,26000,27000,,,,,,,,N/A,,,,,Input ,,,,,
I2C CLK,I2C_SCLÂ ,I2C_SCLÂ ,,6345,4504,27000,27000,,,,,,,,,,,,,Inout,,,,,
SPI CLK,SPI_SCLKÂ ,SPI_SCLKÂ ,,5760,4504,17000,27000,,,,,,,,,,,,,Inout,,,,,
GPT,GPT_RTC,GPT_RTC,,5890,4504,16000,27000,,,,,,,,N/A,,,,,Inout,,,,,
DDR,PAD_MEM_DQS_N[0],PAD_MEM_DQS_N[0],,1600,6193,3000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS_N[1],PAD_MEM_DQS_N[1],,1730,6193,4000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS_N[2],PAD_MEM_DQS_N[2],,1860,6193,5000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS_N[3],PAD_MEM_DQS_N[3],,1990,6193,6000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS[0],PAD_MEM_DQS[0],,2120,6193,7000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS[1],PAD_MEM_DQS[1],,2250,6193,8000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS[2],PAD_MEM_DQS[2],,2380,6193,9000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQS[3],PAD_MEM_DQS[3],,2510,6193,10000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[0],PAD_MEM_DQ[0],,2640,6193,11000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[1],PAD_MEM_DQ[1],,2770,6193,12000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[2],PAD_MEM_DQ[2],,2900,6193,13000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[3],PAD_MEM_DQ[3],,3030,6193,14000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[4],PAD_MEM_DQ[4],,3160,6193,15000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[5],PAD_MEM_DQ[5],,3290,6193,16000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[6],PAD_MEM_DQ[6],,3420,6193,17000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[7],PAD_MEM_DQ[7],,3550,6193,18000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[8],PAD_MEM_DQ[8],,3680,6193,19000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[9],PAD_MEM_DQ[9],,3810,6193,20000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[10],PAD_MEM_DQ[10],,3940,6193,21000,27000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[11],PAD_MEM_DQ[11],,1665,6080.4,3000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[12],PAD_MEM_DQ[12],,1795,6080.4,4000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[13],PAD_MEM_DQ[13],,1925,6080.4,5000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[14],PAD_MEM_DQ[14],,2055,6080.4,6000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[15],PAD_MEM_DQ[15],,2185,6080.4,7000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[16],PAD_MEM_DQ[16],,2315,6080.4,8000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[17],PAD_MEM_DQ[17],,2445,6080.4,9000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[18],PAD_MEM_DQ[18],,2575,6080.4,10000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[19],PAD_MEM_DQ[19],,2705,6080.4,11000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[20],PAD_MEM_DQ[20],,2835,6080.4,12000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[21],PAD_MEM_DQ[21],,2965,6080.4,13000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[22],PAD_MEM_DQ[22],,3095,6080.4,14000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[23],PAD_MEM_DQ[23],,3225,6080.4,15000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[24],PAD_MEM_DQ[24],,3355,6080.4,16000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[25],PAD_MEM_DQ[25],,3485,6080.4,17000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[26],PAD_MEM_DQ[26],,3615,6080.4,18000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[27],PAD_MEM_DQ[27],,3745,6080.4,19000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[28],PAD_MEM_DQ[28],,3875,6080.4,20000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[29],PAD_MEM_DQ[29],,4005,6080.4,21000,26000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[30],PAD_MEM_DQ[30],,1600,5967.8,3000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DQ[31],PAD_MEM_DQ[31],,1730,5967.8,4000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DM[0],PAD_MEM_DM[0],,1860,5967.8,5000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DM[1],PAD_MEM_DM[1],,1990,5967.8,6000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DM[2],PAD_MEM_DM[2],,2120,5967.8,7000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_DM[3],PAD_MEM_DM[3],,2250,5967.8,8000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CLK[0],PAD_MEM_CLK[0],,2380,5967.8,9000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CLK[1],PAD_MEM_CLK[1],,2510,5967.8,10000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CLK_N[0],PAD_MEM_CLK_N[0],,2640,5967.8,11000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CLK_N[1],PAD_MEM_CLK_N[1],,2770,5967.8,12000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[0],PAD_MEM_CTL[0],,2900,5967.8,13000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[1],PAD_MEM_CTL[1],,3030,5967.8,14000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[2],PAD_MEM_CTL[2],,3160,5967.8,15000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[3],PAD_MEM_CTL[3],,3290,5967.8,16000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[4],PAD_MEM_CTL[4],,3420,5967.8,17000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[5],PAD_MEM_CTL[5],,3550,5967.8,18000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[6],PAD_MEM_CTL[6],,3680,5967.8,19000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[7],PAD_MEM_CTL[7],,3810,5967.8,20000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[8],PAD_MEM_CTL[8],,3940,5967.8,21000,25000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[9],PAD_MEM_CTL[9],,1600,5855.2,3000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[10],PAD_MEM_CTL[10],,1730,5855.2,4000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[11],PAD_MEM_CTL[11],,1860,5855.2,5000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[12],PAD_MEM_CTL[12],,1990,5855.2,6000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[13],PAD_MEM_CTL[13],,2120,5855.2,7000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[14],PAD_MEM_CTL[14],,2250,5855.2,8000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[15],PAD_MEM_CTL[15],,2380,5855.2,9000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[16],PAD_MEM_CTL[16],,2510,5855.2,10000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[17],PAD_MEM_CTL[17],,2640,5855.2,11000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[18],PAD_MEM_CTL[18],,2770,5855.2,12000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[19],PAD_MEM_CTL[19],,2900,5855.2,13000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[20],PAD_MEM_CTL[20],,3030,5855.2,14000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[21],PAD_MEM_CTL[21],,3160,5855.2,15000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[22],PAD_MEM_CTL[22],,3290,5855.2,16000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[23],PAD_MEM_CTL[23],,3420,5855.2,17000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[24],PAD_MEM_CTL[24],,3550,5855.2,18000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[25],PAD_MEM_CTL[25],,3680,5855.2,19000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[26],PAD_MEM_CTL[26],,3810,5855.2,20000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[27],PAD_MEM_CTL[27],,3940,5855.2,21000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[28],PAD_MEM_CTL[28],,4070,5855.2,22000,24000,,,,,,,,,,,,,Inout,,,,,
,PAD_MEM_CTL[29],PAD_MEM_CTL[29],,4200,5855.2,23000,24000,,,,,,,,,,,,,Inout,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_0,1,0,0,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_1,1,0,1,Y,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_2,1,0,2,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_3,1,0,3,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_4,1,0,4,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_5,1,0,5,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_6,1,0,6,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_7,1,0,7,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_8,1,0,8,,,,,,,,,,,,,,
,Bank_H_1_1,BANK_H_1_1,,70,40,1000,1000,FPGA_1_0_9,1,0,9,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_10,1,0,10,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_11,1,0,11,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_12,1,0,12,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_13,1,0,13,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_14,1,0,14,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_15,1,0,15,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_16,1,0,16,Y,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_17,1,0,17,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_18,1,0,18,,,,,,,,,,,,,,
,Bank_H_1_2,BANK_H_1_2,,200,40,1000,2000,FPGA_1_0_19,1,0,19,,,,,,,,,,,,,,
,Bank_H_1_3,BANK_H_1_3,,330,40,1000,3000,FPGA_2_0_0,2,0,0,,,,,,,,,,,,,,
,Bank_H_1_3,BANK_H_1_3,,330,40,1000,3000,FPGA_2_0_1,2,0,1,,,,,,,,,,,,,,
